pruning,ordering-heuristic,scenario,method,runtime,epoch
True,min-degree,s8,MAP,0.27624011039733887,24
True,min-degree,s8,MargDist,0.09732961654663086,24
True,min-degree,s1,MAP,0.010050773620605469,25
True,min-degree,s1,MargDist,0.011292219161987305,25
True,min-degree,s2,MAP,0.2631218433380127,25
True,min-degree,s2,MargDist,0.08974313735961914,25
True,min-degree,s3,MAP,0.10628509521484375,25
True,min-degree,s3,MargDist,0.05650806427001953,25
True,min-degree,s4,MAP,0.14753937721252441,25
True,min-degree,s4,MargDist,0.10912322998046875,25
True,min-degree,s5,MAP,0.6622488498687744,25
True,min-degree,s5,MargDist,0.08998656272888184,25
True,min-degree,s6,MAP,0.24214673042297363,25
True,min-degree,s6,MargDist,0.08660411834716797,25
True,min-degree,s7,MAP,0.8387413024902344,25
True,min-degree,s7,MargDist,0.09941625595092773,25
True,min-degree,s8,MAP,0.2594296932220459,25
True,min-degree,s8,MargDist,0.12151026725769043,25
True,min-degree,s1,MAP,0.04001617431640625,26
True,min-degree,s1,MargDist,0.02361750602722168,26
True,min-degree,s2,MAP,0.03315877914428711,26
True,min-degree,s2,MargDist,0.024587154388427734,26
True,min-degree,s3,MAP,0.09649896621704102,26
True,min-degree,s3,MargDist,0.0607912540435791,26
True,min-degree,s4,MAP,0.15424084663391113,26
True,min-degree,s4,MargDist,0.12125682830810547,26
True,min-degree,s5,MAP,0.05060768127441406,26
True,min-degree,s5,MargDist,0.024528026580810547,26
True,min-degree,s6,MAP,0.24999642372131348,26
True,min-degree,s6,MargDist,0.09489774703979492,26
True,min-degree,s7,MAP,0.16711115837097168,26
True,min-degree,s7,MargDist,0.04968738555908203,26
True,min-degree,s8,MAP,0.2081284523010254,26
True,min-degree,s8,MargDist,0.1261889934539795,26
True,min-degree,s1,MAP,0.12495684623718262,27
True,min-degree,s1,MargDist,0.05171775817871094,27
True,min-degree,s2,MAP,0.12171721458435059,27
True,min-degree,s2,MargDist,0.06803083419799805,27
True,min-degree,s3,MAP,0.14328837394714355,27
True,min-degree,s3,MargDist,0.09838318824768066,27
True,min-degree,s4,MAP,0.14701104164123535,27
True,min-degree,s4,MargDist,0.09590888023376465,27
True,min-degree,s5,MAP,0.051026105880737305,27
True,min-degree,s5,MargDist,0.025570392608642578,27
True,min-degree,s6,MAP,0.4367516040802002,27
True,min-degree,s6,MargDist,0.09051656723022461,27
